,,path,slice_file_name,fsID,start,end,salience,fold,classID,class,mfccs,predictedClass,,,,,
0,1878,..\.data\UrbanSound8K\audio\fold2\147926-0-0-10.wav,147926-0-0-10.wav,147926,5,9,1,2,0,air_conditioner,"[-313.18088885  144.91023455    6.12826908   23.2012115    15.90563161
   13.60879973    8.23440594   19.77092604    9.28355211   14.41364216
    2.15189349    5.27983394    1.54094755    4.29931389    9.12622169
    1.4957359     3.70400326   -0.43605293    0.42399923    5.8061929
   -2.41475304    5.23287338   -1.02593469   10.54651288    1.69321897
    9.26974317    1.410189      4.93725799    1.90355029    6.61309865
    4.1494494     4.75069267    1.25773738    3.36092697    1.09992542
    4.45645675   -4.05293423    5.29834902   -2.44115035    3.79568123]",0,TRUE,,,,
0,6781,..\.data\UrbanSound8K\audio\fold7\202516-0-0-1.wav,202516-0-0-1.wav,202516,0.5,4.5,1,7,0,air_conditioner,"[-2.31330860e+02  1.62135621e+02 -7.50791697e+00  3.11045933e+01
  6.56138163e+00  3.01456712e-01  3.50414067e-01 -1.44778417e+00
 -1.13287021e+00  8.75599616e+00 -2.83165749e+00  5.35426155e+00
 -8.94336449e-01  4.38876821e+00 -4.43588427e+00  2.92346868e+00
 -1.64249302e+00 -4.75095329e-01 -7.20229740e+00 -1.98107583e+00
 -7.50754429e+00 -3.44023382e-01 -6.00686418e+00 -2.99614724e+00
 -5.13228874e+00  2.09248039e+00 -4.00495456e+00  1.18512210e+00
 -3.07544082e+00 -7.64708831e-01 -5.33110512e+00  2.58551205e+00
  2.34301537e-01  5.02780717e+00  1.96001010e+00  3.63939502e+00
 -3.40787263e-01  3.01216986e+00 -4.11574948e-02  4.97408867e+00]",0,TRUE,,,,
0,3877,..\.data\UrbanSound8K\audio\fold4\166942-0-0-4.wav,166942-0-0-4.wav,166942,2,6,1,4,0,air_conditioner,"[-9.03339421e+01  3.32178976e+01 -2.97059910e+00  3.76301829e+01
  1.21138862e+01  9.07738543e+00  1.49772823e+01  5.28816337e+00
 -2.17955621e+00  1.37076147e+01 -8.14721002e+00  3.56028347e+00
  1.71575592e+00  6.75326788e+00 -5.65758732e+00  1.05200740e+01
 -7.35496283e+00 -6.76218984e+00 -2.07685626e+00  1.02758573e+00
 -3.97249547e+00 -1.23802028e-01 -3.27816311e+00 -1.81700504e+00
 -6.46936221e+00 -2.73616872e+00 -5.59045446e+00 -5.42950770e-01
 -3.91011732e+00 -2.16344004e+00 -4.61154620e+00  1.93330779e+00
 -4.93503491e+00  7.75622700e-02 -6.92718368e-01  2.72727517e+00
 -4.88604017e-01  1.13266468e+00 -3.00449395e+00 -1.19022499e+00]",0,TRUE,,,,
0,4977,..\.data\UrbanSound8K\audio\fold5\178686-0-0-53.wav,178686-0-0-53.wav,178686,26.5,30.5,2,5,0,air_conditioner,"[-3.77264605e+02  1.69636487e+02 -2.95926574e+01  3.19629472e+01
  2.23218218e+00  7.08458074e+00  7.51596093e+00  4.56564552e+00
 -1.65115962e+00  8.90017670e+00 -3.48448708e+00  7.55614008e+00
  7.76242164e-01  4.62455992e+00  3.88899767e+00  3.18016064e+00
  1.04968908e+00  6.80494797e+00 -2.08398797e-02  6.93081631e+00
 -2.29567868e+00  3.93971092e+00 -1.01245921e+00  2.96854817e+00
 -5.63751781e-01  1.47413115e+00 -3.64810104e+00  6.13370157e-01
 -3.67172454e+00  8.86233652e-01 -1.41200187e+00  7.15468210e-01
 -2.03063937e+00  2.14316286e+00 -1.58125782e+00  2.51012241e+00
 -1.29664213e+00  3.17123488e+00 -4.72278445e-01  1.88625971e+00]",0,TRUE,,,,
0,2929,..\.data\UrbanSound8K\audio\fold3\177742-0-0-58.wav,177742-0-0-58.wav,177742,29,33,2,3,0,air_conditioner,"[-190.28523144   67.95261996   -3.16781558   18.85587204   -7.6401891
   25.01480795    0.43115859   10.57799122   -1.572684      7.25637558
    2.20705085    5.99122608   -4.25865761    4.06319764   -1.55148645
    3.62084336   -4.30198152   -0.41384529   -3.9359371     3.89354238
   -2.87640179    2.3592593    -3.0498034     2.80193844   -1.22021734
    3.981635     -2.93138503    1.89398058   -2.85215292    2.25999592
   -1.82096299    0.57521106   -4.30915422    0.23702297   -3.83069759
    0.55352822   -3.00807631    0.40753595   -3.40674531    1.11703657]",6,FALSE,,,,
0,6460,..\.data\UrbanSound8K\audio\fold7\146845-0-0-32.wav,146845-0-0-32.wav,146845,16,20,1,7,0,air_conditioner,"[-142.3345192   148.54301307   18.48203863   14.44232153    2.57078163
   11.76643008    4.33935999   13.36797866    7.41672561   10.21039186
    3.38036486    0.51913129    3.44149565   12.31567748    1.79926642
    5.49814966   -0.20586138    3.30951633   -3.4685503    -1.16539332
   -2.72938359    4.76785043   -0.5876889    -0.92070313   -8.20589808
    6.14485352    0.3243643     2.50132609   -6.5411055    -0.45757238
   -2.71094083   -0.85487319   -8.37888216    0.60429506   -1.68539375
    1.52995014   -2.70859474    2.04836942    5.51088345    1.9494217 ]",0,TRUE,,,,
0,4978,..\.data\UrbanSound8K\audio\fold5\178686-0-0-55.wav,178686-0-0-55.wav,178686,27.5,31.5,2,5,0,air_conditioner,"[-456.14919086  192.02509942   13.49133585   11.59314663    8.69361157
    2.79982959    1.24161672    7.72975326   -0.62821702    5.34245205
   -3.10469483    4.95809041    0.92408234    5.48180985    1.15366509
    6.46976493    0.83902585    7.31477777    1.52369765    6.55180986
   -0.87545152    2.99392793   -2.30070391    3.25229682   -1.03991892
    2.39878136   -3.27478334    2.15738877   -2.88475281    1.17924508
   -3.01922546    2.19377125   -1.36822513    2.69964885   -1.47630672
    3.04823243   -0.49340179    2.94823826   -0.61793425    2.54649786]",0,TRUE,,,,
0,1556,..\.data\UrbanSound8K\audio\fold10\73524-0-0-74.wav,73524-0-0-74.wav,73524,37,41,1,10,0,air_conditioner,"[-131.6432022   127.15530058   -1.78382259   10.16477328   14.51172817
   19.27544754   16.10903052    2.79068332   -2.63593033    3.77342123
   -4.2874551     6.12489585    0.61933891    3.5639591    -6.87098278
    7.56200434   -3.80079709    1.16717738   -7.90730412   -0.37003417
   -5.37760369    2.29358951   -3.19140767    4.68866316   -3.40187591
    5.67024149   -5.44623554    2.48145966   -0.41021882    0.70837054
   -1.0680598     0.50016091   -1.95898085    0.19994438   -2.10982994
    0.53073293   -1.3046099    -0.49079634   -1.39731631    0.84318535]",0,TRUE,,,,
0,8658,..\.data\UrbanSound8K\audio\fold9\79089-0-0-106.wav,79089-0-0-106.wav,79089,62.664375,66.664375,2,9,0,air_conditioner,"[-77.22471115  76.95375843   7.35577042   0.23207295  -1.53536198
   1.93678983 -14.14759167   0.62392253  -4.40217252   7.03674767
  -7.98646713   4.90295165  -1.37339905   5.22270428  -4.16258554
   7.65719126  -8.11161059   7.133227     1.6183129    5.74089448
   1.18640103  -0.13695188   9.10068861   1.77545593   5.42851209
   3.33547295   4.49334281   4.56018822  -4.12535634   0.94808677
  -3.7944458    3.24058461  -0.23337667   3.68483078  -2.25333897
   4.22619508  -2.91119287   4.82160897  -2.14632343   5.56532556]",0,TRUE,,,,
0,2832,..\.data\UrbanSound8K\audio\fold3\159761-0-0-5.wav,159761-0-0-5.wav,159761,2.5,6.5,2,3,0,air_conditioner,"[-5.26443763e+02  1.08264816e+02 -4.42966160e+00  2.18493446e+01
  6.34182071e+00  9.41730933e+00  4.95745436e+00  9.85735744e+00
  9.78014557e-01  6.50570122e+00  1.90136671e-01  5.91631265e+00
 -4.81065619e-01  4.07000689e+00 -2.47409175e+00  2.34048664e+00
 -4.01123191e+00  2.18018881e+00 -2.12654652e+00  3.14516138e+00
 -2.40612757e+00  3.96878642e+00 -1.75460775e+00  1.95687642e+00
 -4.33058149e+00  7.37585500e-01 -2.04408806e+00  3.69433852e+00
 -7.26372441e-01  3.50334596e+00 -1.14686218e+00  3.24212573e+00
 -7.69243756e-01  3.16019503e+00 -1.50808203e+00  1.12674305e+00
 -2.66978637e+00  8.15478333e-01 -2.26686507e+00  3.00696871e+00]",0,TRUE,,,,
0,2918,..\.data\UrbanSound8K\audio\fold3\177742-0-0-178.wav,177742-0-0-178.wav,177742,89,93,2,3,0,air_conditioner,"[-129.52197481   57.81023315  -14.26155944    8.37155243  -12.23666424
   15.0311898    -6.85480629    7.6824848    -9.04790656    1.37010243
   -4.14565777    2.64850065   -5.69809559    1.99327235   -4.44373654
    3.43645276   -3.50457422   -0.33373018   -4.35221749    4.12401066
   -2.50252537    2.6368392    -3.30170654    1.15989199   -3.80750746
    2.48044546   -3.07899386    2.37789113   -2.05316932    2.43511892
   -2.18832091    1.9450913    -3.66293877    1.6469135    -3.31201748
    0.87827871   -3.15860088    1.34446161   -3.21980298    1.96363167]",0,TRUE,,,,
0,1867,..\.data\UrbanSound8K\audio\fold2\146690-0-0-8.wav,146690-0-0-8.wav,146690,4,8,1,2,0,air_conditioner,"[-1.87369937e+02  8.39176408e+01  4.62623985e+01  2.98375338e+01
  1.00717568e+01  2.32722137e+01  4.92383242e+00  3.58541251e+01
 -9.03836782e+00  2.37514056e+01  6.32520363e-01  1.08373818e+01
  5.72159509e+00  8.84365027e+00  1.86660007e+00  3.32598184e+00
  4.45344767e+00  2.96564483e+00  6.40565515e-01  3.24988896e+00
  3.20178110e+00  3.44147586e+00  7.99448564e-01 -1.37477728e-01
 -5.22369380e-01  1.25397223e+01 -4.60046110e+00  1.08513945e+00
 -1.73497084e+00  1.03442827e+01 -6.74673431e+00  6.65933266e-01
  1.57931977e+00  6.98253083e-02 -2.91763872e+00  2.46705749e+00
 -4.27765615e+00  1.27708373e+00  2.13646377e-01 -3.05011509e+00]",0,TRUE,,,,
0,1892,..\.data\UrbanSound8K\audio\fold2\147926-0-0-39.wav,147926-0-0-39.wav,147926,19.5,23.5,1,2,0,air_conditioner,"[-3.14420338e+02  1.45479458e+02  1.55398649e-01  2.64862492e+01
  1.55198333e+01  1.37604053e+01  7.20361923e+00  2.26964349e+01
  1.02177373e+01  1.56524542e+01  5.76512518e-01  4.84434362e+00
  1.58648362e+00  3.46712834e+00  9.17531741e+00  3.88734321e-02
  4.19556578e+00  1.22308599e+00  2.99248360e+00  4.21957136e+00
 -2.11914312e+00  6.30542204e+00  8.70842528e-01  1.26196404e+01
  5.16630621e+00  9.80328956e+00  6.29873853e-01  8.23377330e+00
  5.86040946e+00  3.19737445e+00  6.40607105e+00  4.43008792e+00
  2.04057865e+00  7.62918668e+00  1.23964837e+00  3.15892733e+00
  6.11281316e-03  4.07528235e+00 -2.35331669e+00  6.85743899e+00]",0,TRUE,,,,
0,161,..\.data\UrbanSound8K\audio\fold1\134717-0-0-6.wav,134717-0-0-6.wav,134717,3,7,1,1,0,air_conditioner,"[-1.92585505e+02  1.78890911e+02  1.43587761e+00  5.74608612e+00
 -3.46372006e+00 -4.63199924e+00 -1.32942676e+01  8.41526883e+00
 -1.60788783e+01  1.17204152e-01 -9.95664492e+00 -5.48476957e+00
 -2.17916021e+01 -1.71191241e+01 -1.65811822e+01 -5.22422940e+00
 -1.51072055e+01 -2.97639854e+00 -2.16808919e+00  1.39606423e+00
 -1.01330645e+01 -6.16800163e+00 -1.23985006e+01 -2.47569328e+00
 -1.26473049e+01 -1.48286108e+01 -8.18341649e+00  1.44801172e+00
 -7.05577579e+00 -3.90472617e+00 -1.06538531e+00  4.43207689e+00
 -1.72119214e+00 -2.82308601e+00 -2.40096910e+00 -3.01667703e+00
 -3.23166700e+00  1.49576858e+00 -1.88808778e+00 -1.79835978e+00]",0,TRUE,,,,
0,1353,..\.data\UrbanSound8K\audio\fold10\189982-0-0-30.wav,189982-0-0-30.wav,189982,15,19,1,10,0,air_conditioner,"[-142.77165701  125.21726254  -10.47976216   26.77462756    1.21507931
   19.08002338   -6.28100916   21.10069054   -5.24280622   12.09556304
   -4.04061812    4.97041426   -3.74428208    4.48515876   -4.95144931
    2.05560151    2.71475361    8.90622967    0.4735281     5.76888977
   -2.68600993    3.17071594   -1.43497829    2.19962869    1.00456314
    5.01779287   -3.0490717     3.53030988   -2.1838941     3.44331097
    0.39061226    3.57084709   -0.44148687    1.5943379    -4.43667447
    1.55420848   -1.87816434    1.85978334   -2.73620259    2.03881436]",0,TRUE,,,,
0,766,..\.data\UrbanSound8K\audio\fold1\59277-0-0-6.wav,59277-0-0-6.wav,59277,3,7,1,1,0,air_conditioner,"[-7.26027098e+01  1.50701186e+02 -1.08058835e+00  3.07953842e+01
  8.87391700e+00  3.99808148e+00 -5.89970062e+00  5.79123177e+00
 -6.22725210e+00 -1.41154914e-01 -7.47532467e+00  6.73034244e+00
  9.23908468e-01  9.25423152e-01 -4.29072022e-02  1.67541396e+00
 -6.78889559e+00 -4.26927627e+00 -3.55588732e+00  1.72473046e+00
 -2.92309782e+00  3.71188882e+00 -7.38408326e+00 -8.76189539e-01
 -2.27007461e+00 -8.09415525e-01 -8.41044822e+00 -5.30410341e+00
 -1.13445232e+00  2.99010344e+00 -4.98304315e+00 -2.47181260e+00
 -1.55860461e-01 -8.63808125e-02 -1.80413665e+00  3.26857875e+00
 -1.57120045e+00 -7.08813413e-01 -2.59966538e+00  4.64298770e+00]",0,TRUE,,,,
0,4377,..\.data\UrbanSound8K\audio\fold4\55018-0-0-26.wav,55018-0-0-26.wav,55018,17.041583,21.041583,1,4,0,air_conditioner,"[-193.73641682  104.57814537   -1.46169584   28.45668241    8.31110605
   20.49013068    5.0951184    14.68289746   -1.39291034    8.03009556
   -0.92680707   -2.56378494   -3.43559251    0.51253798   -7.4941227
    3.43815145   -9.96906258   -3.7382765    -5.13550562   -3.27239504
   -5.09585796   -1.44134404   -8.01409595    2.54545922   -2.99228826
    0.56731339   -4.35442168   -1.21205331   -0.80657357    0.56132703
   -3.40748117    1.13767604   -4.08469011    3.2714632    -2.33327132
   -0.35003599    0.27643169    0.50395303    0.99662056    4.05421319]",0,TRUE,,,,
0,2769,..\.data\UrbanSound8K\audio\fold3\146714-0-0-35.wav,146714-0-0-35.wav,146714,17.5,21.5,2,3,0,air_conditioner,"[-3.01576192e+02  5.44544536e+01  5.29199446e+01  9.77558213e+00
  1.00774999e+01  5.09715847e+00  7.69377019e+00  1.66620649e+01
  2.95652281e+00  6.76479647e+00  8.25605951e+00  1.73003185e+01
  6.33709749e+00  1.62423796e+01  5.50044801e+00  7.98485132e+00
  3.48560871e+00  6.19775441e+00 -2.40032334e-01  2.33655025e+00
 -2.17103822e+00  4.88199743e+00  2.19746458e+00  7.81517347e+00
  2.71197604e-01  5.77990074e+00 -1.04768845e+00  4.45390807e+00
 -3.60586161e+00  3.82883154e+00 -2.17179400e+00  1.38480960e+00
 -3.35280260e+00  2.91131358e-01 -3.33130221e+00 -2.24717369e-01
 -2.49179183e+00 -1.98996097e+00 -2.86682004e+00  1.55158950e+00]",0,TRUE,,,,
0,7517,..\.data\UrbanSound8K\audio\fold8\177726-0-0-3.wav,177726-0-0-3.wav,177726,1.5,5.5,2,8,0,air_conditioner,"[-4.31691409e+02  1.36557339e+02  1.99178480e+01  3.28196217e+01
  1.31989730e+01  1.54674083e+01  5.95549572e+00  1.25457141e+01
  1.60309979e+00  7.92156102e+00  3.96538325e+00  9.29558308e+00
  4.11804150e+00  9.48445566e+00  4.27228883e+00  8.11000145e+00
  6.87759404e-01  4.12988584e+00 -3.43292045e-01  6.00397516e+00
  1.89813481e+00  7.49602556e+00  3.19993439e+00  6.72792866e+00
  2.97530685e+00  7.73874281e+00  2.98947772e+00  4.26609739e+00
  3.89510900e-01  3.22115197e+00 -1.09628365e+00  2.16112726e+00
  1.98961123e-01  3.16260539e+00 -3.92474760e-02  2.41262064e+00
  7.87639335e-01  2.08659830e+00 -1.65932480e+00 -1.16239103e+00]",0,TRUE,,,,
0,2492,..\.data\UrbanSound8K\audio\fold2\74507-0-0-6.wav,74507-0-0-6.wav,74507,3,7,1,2,0,air_conditioner,"[-114.11835629  129.69468767  -20.49742978   17.7501812   -10.1967018
   16.19403933   -4.0410233     8.20162548   -7.76670423    0.87733408
   -7.62151962    3.25269174   -2.18035657    6.89400676   -0.53093044
    4.25060781   -6.40978791    2.20840107   -2.85753638   -0.9782503
  -10.67785092   -4.96725199    1.28565526    4.6627003    -5.39629116
    6.48319255   -2.28284918    0.58960219    0.97403778    6.0987685
    1.56648411    2.44373993   -6.12807631    1.32845518   -3.3009397
    1.91469      -1.79385802    1.33075562    3.20294978    4.01003125]",8,FALSE,,,,
0,2914,..\.data\UrbanSound8K\audio\fold3\177742-0-0-161.wav,177742-0-0-161.wav,177742,80.5,84.5,2,3,0,air_conditioner,"[-1.44874591e+02  6.75524244e+01 -2.88362599e+00  1.91338520e+01
 -8.11105685e+00  2.05849911e+01 -4.17089978e+00  6.08439384e+00
 -7.27755902e+00  1.43137709e+00 -3.91018461e+00  3.96851168e-01
 -8.42803855e+00  1.32553616e+00 -3.75730742e+00  2.61951268e+00
 -2.32590170e+00  3.73092172e+00 -5.80805984e-01  6.86441582e+00
  3.89015224e-01  4.33810303e+00 -2.29747408e+00  3.23204978e+00
 -1.94965809e+00  2.58963963e+00 -3.95428925e+00  1.17754316e-01
 -5.65100420e+00 -8.71887623e-01 -5.82993363e+00 -1.43539677e+00
 -5.62706389e+00  1.02184817e+00 -2.77596849e+00  1.57269394e+00
 -1.02087262e+00  3.82548134e+00 -6.30884532e-01  3.29719312e+00]",0,TRUE,,,,
0,4540,..\.data\UrbanSound8K\audio\fold5\100852-0-0-25.wav,100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner,"[-46.13752224  69.05879871 -37.13215492  39.00827663   8.6810665
  12.63586151   5.98214264   7.75357487  -3.75143978   1.6200214
  -3.21132972   3.07898082  -3.27283356   7.60470742  -5.31111974
   8.49923699  -5.20407288   4.66893961  -4.89472418   8.67390061
  -3.35380489   2.2836357   -1.46507821   3.75882821  -3.43898222
   2.39672438  -5.10665018   0.95045522  -4.24496372  -1.53546737
  -7.29547201  -2.1961878   -4.21022783  -0.90437199  -2.19367463
   1.55457484  -0.71769236   1.626029    -2.86090193   2.21921234]",0,TRUE,,,,
0,6467,..\.data\UrbanSound8K\audio\fold7\146845-0-0-8.wav,146845-0-0-8.wav,146845,4,8,1,7,0,air_conditioner,"[-1.44268497e+02  1.47526871e+02  2.02096587e+01  1.49932875e+01
  3.60993870e+00  1.11893456e+01  5.96891790e+00  1.18015090e+01
  6.36018634e+00  1.25401260e+01  2.37035785e+00 -1.50107063e+00
  4.04511049e+00  1.19361323e+01  1.93353413e+00  7.59114450e+00
 -2.70461690e+00  5.92958671e+00 -6.92865699e+00 -2.45421505e+00
 -2.90275507e+00  4.49114580e+00  2.19805772e+00  3.14857358e-02
 -6.46305280e+00  5.16602206e+00 -7.20895455e-02  2.38698908e+00
 -4.88289681e+00 -5.22906565e-01 -3.59867688e+00 -1.89106886e+00
 -9.13794000e+00 -6.92992451e-01 -2.24231921e+00  1.30536737e+00
 -3.32116586e+00  3.22189455e+00  6.06038153e+00  3.01933729e+00]",0,TRUE,,,,
