path,slice_file_name,fsID,start,end,salience,fold,classID,class,mfccs
data\UrbanSound8K\audio\fold10\73524-0-0-114.wav,73524-0-0-114.wav,73524,57.0,61.0,1,10,0,air_conditioner,"[-1.66749395e+02  1.58502911e+02 -1.31025258e+01  1.92992777e+01
 -5.44006635e+00  3.17749447e+01  4.22350551e+00  1.97923996e+01
 -3.81985449e+00 -8.26173532e+00  4.31107939e+00  3.38352831e+00
 -2.47915227e+00 -2.34600834e+00 -1.88677669e+00  6.29601527e+00
  7.12172341e-01 -1.95843216e+00  1.21496569e+00 -5.21028973e+00
 -4.05425844e+00 -3.80307048e+00 -3.95597265e+00 -8.71402056e+00
 -7.96859518e+00 -8.23586485e+00  1.49303620e+00  5.87104792e+00
 -2.89421260e+00 -3.44178074e+00  4.03325397e+00 -1.49865343e-01
 -7.04165651e-01  9.26429589e+00  8.04975580e-01 -4.13524674e+00
 -2.50317257e+00 -3.14080234e-01  1.06779671e+00 -2.49611314e+00]"
data\UrbanSound8K\audio\fold9\101729-0-0-13.wav,101729-0-0-13.wav,101729,6.5,10.5,2,9,0,air_conditioner,"[-2.08062769e+02  3.13334327e+01 -9.92712598e+00  5.46991228e+01
 -5.27373516e+00  1.19344129e+01  3.82934733e-01  1.51633400e+01
 -2.61407437e+00  1.18413806e+01  9.70954103e+00  3.68687443e-01
  4.18545971e+00  9.31731324e+00 -7.20177698e+00  4.23685310e+00
  3.74282928e+00 -1.56047249e+00  2.27227815e+00  5.83948679e+00
  3.44850527e+00 -5.93033838e-01  6.48130171e+00  1.86090310e+00
 -4.39763581e+00  5.74502838e+00 -3.03404988e+00 -2.13934252e+00
 -4.36089331e-01  5.73407808e-01 -2.36945787e+00  1.67841811e+00
  1.29090849e+00  1.15591845e+00 -1.77953674e-01  3.35630146e+00
 -2.83147506e+00 -1.11743632e+00  2.04370336e+00 -4.26197599e+00]"
data\UrbanSound8K\audio\fold8\177726-0-0-33.wav,177726-0-0-33.wav,177726,16.5,20.5,2,8,0,air_conditioner,"[-4.71722143e+02  1.39967398e+02  3.05885909e+01  2.33313117e+01
  2.20421634e+01  1.41888262e+01  1.03860528e+01  8.77706932e+00
  6.95506958e+00  8.06181803e+00  1.55041909e+00  5.35276570e+00
  4.17424594e+00  5.46108663e+00  4.71443893e+00  5.46353557e+00
  5.07046994e+00  5.71530915e+00  4.09013085e+00  4.45200936e+00
  1.16703372e+00  2.10110686e+00  9.95584534e-01  3.21115839e+00
  3.02022470e+00  3.70765613e+00  4.51138930e+00  4.96190244e+00
  3.76416781e+00  4.74602995e+00  3.83138453e+00  6.09404712e+00
  3.82601549e+00  2.58888640e+00  1.46654057e+00  8.91425017e-01
  6.02761428e-01  2.11665745e-01  4.04383515e-01  1.31756244e+00]"
data\UrbanSound8K\audio\fold7\189981-0-0-16.wav,189981-0-0-16.wav,189981,8.0,12.0,1,7,0,air_conditioner,"[-3.08984808e+02  1.78684802e+02 -1.71763709e+01  3.02524526e+01
 -6.25152461e-01  1.76130427e+01  4.82828485e+00  3.67761722e-01
  9.08112628e+00  8.18506225e+00  3.35454044e-01  7.60901631e+00
  2.01011961e+00  5.63339664e-01  1.48044454e+00 -1.44131528e+00
  2.29839029e+00 -3.05634501e-01 -2.14571992e+00  5.45195788e+00
  3.92127755e+00  5.77612190e+00  2.53496072e+00  9.54891737e-01
  1.01380722e+00  3.76278057e-01  2.49775013e+00  6.72557483e-01
 -3.92386332e-01  1.77743191e+00  1.16015839e+00 -6.64802782e-01
 -1.17455599e-01  1.10805960e+00 -1.57170971e-01  2.43321194e+00
  1.92269260e+00  1.23856090e+00  1.73828471e+00  1.48245073e-01]"
data\UrbanSound8K\audio\fold2\147926-0-0-52.wav,147926-0-0-52.wav,147926,26.0,30.0,1,2,0,air_conditioner,"[-3.54089165e+02  1.60469695e+02  1.35816760e+01  1.83043345e+01
  1.20876090e+01  2.60326275e+01 -5.80063537e-01  1.88272028e+01
  7.55410449e+00  2.24317132e+01  1.48764171e+00  1.70913689e+01
 -3.09122102e+00  3.63318954e+00  2.70465272e+00  3.28827912e+00
  7.65905305e+00  7.00264687e+00 -1.28245412e+00  8.36384545e-01
  8.24571451e+00 -3.61124415e+00  6.04921653e+00 -1.90964352e-01
 -2.30049146e+00  6.00748254e+00 -2.20252192e+00  1.01808351e+01
  6.13377339e+00  9.20898642e+00  2.64123270e+00  3.86628824e+00
  2.53028566e+00  8.02626168e+00  4.48324903e+00 -4.52889642e-01
  8.97553804e+00  4.21181904e-01  2.74472329e+00  1.80914164e+00]"
data\UrbanSound8K\audio\fold9\101729-0-0-26.wav,101729-0-0-26.wav,101729,13.0,17.0,2,9,0,air_conditioner,"[-2.67830971e+02  5.58304497e+01  1.44998726e+01  4.01042351e+01
  3.75173142e+00  1.11728386e+00  6.39938408e+00  1.53079058e+01
 -6.07558086e+00  1.45337513e+01  1.64770465e+01 -4.19934553e+00
  1.94251083e+00  1.39730639e+01 -1.09294819e+01  2.90925548e+00
  7.34098166e+00 -2.90539649e+00  5.34402288e-01  7.65581066e+00
  5.12828151e+00 -3.76479052e+00  7.51369083e+00  2.88564368e+00
 -7.02811529e+00  7.00224194e+00 -2.96960461e+00 -3.79961501e+00
 -1.61662704e-01  2.41805707e+00 -2.85358525e+00  7.34854578e-01
  2.52885602e+00  2.28964634e+00 -7.02053863e-01  4.91134728e+00
 -2.41450512e+00 -1.29339412e+00  3.08821499e+00 -3.67697442e+00]"
data\UrbanSound8K\audio\fold1\134717-0-0-4.wav,134717-0-0-4.wav,134717,2.0,6.0,1,1,0,air_conditioner,"[-2.58050015e+02  2.17160868e+02  1.14988409e+00  2.29735604e+01
 -1.47310626e+01  1.18095943e+01 -1.08694844e+01 -7.62347734e+00
  6.29288094e+00 -4.19568060e+00 -5.85012234e+00 -2.45486498e+00
 -2.11618118e+00 -7.61144894e+00 -8.94011571e+00 -1.73984116e+01
 -1.29587391e+01 -1.08760989e+01 -5.09246283e+00 -9.54825254e+00
 -7.79412118e+00  6.08272796e-01 -3.10226054e-01  7.23791981e-01
 -5.95189962e+00 -4.45895127e+00 -7.19047364e+00 -6.12004666e+00
 -2.53049295e+00 -9.54802194e+00 -1.22942885e+01 -6.84195764e+00
 -1.94190435e-01 -1.70129485e+00 -5.03684032e+00 -4.03988555e+00
  4.69002315e-01  1.59580768e+00  1.68378746e+00 -2.38154622e+00]"
data\UrbanSound8K\audio\fold10\83502-0-0-11.wav,83502-0-0-11.wav,83502,5.5,9.5,2,10,0,air_conditioner,"[-3.08415704e+02  1.30774617e+02 -3.16590294e+01  5.78829487e+01
 -1.59981873e+01  4.35258245e+01 -7.07253898e+00  6.06406333e+00
  1.31927649e+01  5.92138961e+00  5.27203468e+00  6.76761994e+00
 -6.55688442e+00  1.51199661e+01 -2.72057422e+00  3.81207966e+00
  1.36022761e+00  4.28116520e+00  3.74600352e-01 -1.47026916e+00
 -1.18459466e+00 -1.00115782e+00  2.08130230e+00 -1.59805186e+00
 -3.83541629e+00  7.06897330e+00 -6.25455083e+00  3.02459747e+00
 -2.79423957e+00 -2.90612199e+00  5.49759330e+00 -3.63028274e+00
  3.83045770e-02 -7.82569483e-01 -2.98537840e+00  6.69774376e+00
 -5.54859221e+00  1.01942045e+00  3.71803460e-02 -1.91900777e+00]"
data\UrbanSound8K\audio\fold9\101729-0-0-9.wav,101729-0-0-9.wav,101729,4.5,8.5,2,9,0,air_conditioner,"[-2.46769148e+02  4.72219845e+01  4.41291576e+00  4.68373035e+01
  1.89458064e+00  4.56944289e+00  3.14118099e+00  1.50897277e+01
 -4.28183944e+00  1.23559978e+01  1.37083592e+01 -1.44213601e+00
  4.48280515e+00  1.18314164e+01 -9.34918054e+00  5.36568419e+00
  5.93507211e+00 -3.40027259e+00  2.12296447e+00  7.55141731e+00
  3.23831805e+00 -3.62776613e+00  7.33435048e+00  1.71041336e+00
 -6.30578319e+00  6.84383292e+00 -3.00285242e+00 -2.67164813e+00
  1.23379633e-01  1.15789776e+00 -3.26518969e+00  1.05405658e+00
  1.76933684e+00  1.20075670e+00 -2.36478752e-01  4.43836760e+00
 -2.99424290e+00 -1.12764334e+00  1.94450905e+00 -4.47245094e+00]"
data\UrbanSound8K\audio\fold8\54383-0-0-10.wav,54383-0-0-10.wav,54383,5.0,9.0,1,8,0,air_conditioner,"[-174.91673558  192.53328179  -45.02766615   31.38115766  -64.84179629
   16.42996018  -33.3492184     3.90420817   -7.75993308   -7.37327598
    1.96916961  -10.4150011    -1.72104464   -8.1090278     4.31718663
  -11.87936137    6.93335862   -2.37507079    0.97215704    5.97341725
    1.46401523   -0.21383392   -1.06578895    1.54926429   -4.96648797
   -0.50998133   -2.99669749   -0.41814195   -2.18899677    0.75948169
   -2.54186724   -1.2818389    -2.42693052   -1.01771111    3.06575695
   -1.59727957    2.96479772    1.25458717    2.57684101    1.06420019]"
data\UrbanSound8K\audio\fold3\159761-0-0-1.wav,159761-0-0-1.wav,159761,0.5,4.5,2,3,0,air_conditioner,"[-5.56829612e+02  1.26711833e+02 -6.63674555e+00  2.13632193e+01
  6.27062361e+00  1.62426166e+01  1.44982717e+00  1.02431341e+01
  5.89462887e+00  4.80711287e+00  3.48131120e+00  2.87791289e+00
  3.66672076e+00  3.07703711e+00  3.23010925e+00  2.78440763e+00
 -3.52411363e-01  1.12861873e+00 -6.96488035e-01  7.29959574e-01
  1.47480729e-01  1.09642621e+00  9.67063946e-01  1.57708370e+00
  9.31341819e-01  1.96319125e+00  1.23422141e+00  1.24723910e+00
 -4.78036901e-01 -4.47648878e-01 -1.47145606e+00  6.86359122e-01
  8.19433940e-01  1.93197904e+00  1.06635100e+00  1.77986554e+00
  1.30347727e+00  1.60135409e+00  8.78328625e-01  1.67647231e+00]"
data\UrbanSound8K\audio\fold7\177729-0-0-50.wav,177729-0-0-50.wav,177729,25.0,29.0,2,7,0,air_conditioner,"[-3.42738300e+02  1.18991252e+02 -1.79758554e+01  4.19016441e+01
 -1.51452215e+01  8.10747642e+00  2.28154164e+01  8.85222387e+00
 -3.11549209e+00  1.37797476e+01  3.41748505e+00 -2.89053814e+00
  1.27979890e+01  9.48344424e+00 -1.77323713e+00  4.07378936e+00
  2.14959228e+00  1.47122279e+00 -3.88325189e-01  4.13615150e-02
 -2.03848685e+00 -3.00263914e+00  1.74382071e+00  5.28811150e+00
 -3.16831704e+00 -9.78181360e-01  4.23613264e+00 -1.70386817e-01
 -1.84079489e+00  3.39736111e+00 -3.25162452e+00 -1.27040153e+00
  2.99364265e+00 -9.84091300e-01 -2.56990412e+00  2.53125969e+00
 -2.41068356e+00 -9.97951683e-01 -5.21648922e-01 -2.53367088e+00]"
data\UrbanSound8K\audio\fold7\146845-0-0-21.wav,146845-0-0-21.wav,146845,10.5,14.5,1,7,0,air_conditioner,"[-1.68231789e+02  1.39473056e+02  4.59092649e+01  4.79292654e+00
  1.19463577e+01  4.49531682e+00  5.79375330e+00  1.18999285e+01
  2.90188838e+00  1.31355045e+01  4.92112244e+00  9.68867785e+00
  4.38099939e+00 -2.81846338e+00  3.06183326e+00  8.33460592e+00
  4.36060988e+00  5.46202676e+00  3.59612989e-01  5.51176700e+00
 -3.08089233e+00  6.83641180e+00 -8.98557295e+00  5.60394292e-01
 -4.39734351e+00  4.13177125e+00 -5.75455330e-01  2.86044174e+00
 -7.51386885e+00 -1.02001419e+00 -6.13330316e-01  5.83518690e+00
 -1.91366768e+00  5.50530060e-03 -5.47868194e+00 -1.25822076e+00
 -1.78013356e+00 -2.31898751e+00 -5.38220985e+00 -5.52374299e+00]"
data\UrbanSound8K\audio\fold4\195969-0-0-26.wav,195969-0-0-26.wav,195969,296.48561,300.48561,2,4,0,air_conditioner,"[-3.81563189e+02  1.23967055e+02 -2.58285044e+01  4.68425337e+01
  1.21405930e+01 -2.11433479e+00  1.60712357e+01 -3.72648451e+00
 -6.13772684e+00  2.26630178e+01 -1.82001489e+01 -7.55645569e+00
  1.24657085e+01 -2.56675494e+00  1.57277010e+00  4.49835357e+00
 -1.04651012e+01  1.93781560e+00  2.65638080e+00 -7.04806956e+00
  4.74784790e+00  4.55879156e+00 -8.33186905e+00  1.55956200e+00
  2.20364528e+00 -5.51380652e+00  6.17160086e+00 -1.06329536e+00
 -1.05088092e+01  2.89436130e+00  1.69380534e+00 -7.52033496e+00
  3.53860776e+00  3.21330178e+00 -2.78178407e+00 -9.63034052e-02
 -6.44324223e+00 -4.48423510e+00  2.98872328e+00 -2.01725037e+00]"
data\UrbanSound8K\audio\fold4\166942-0-0-2.wav,166942-0-0-2.wav,166942,1.0,5.0,1,4,0,air_conditioner,"[-1.33926677e+02  8.33661918e+01 -4.59927112e+01  5.40307855e+01
  2.36091436e-03  3.22714169e+01 -8.47644349e+00  2.38492748e+01
  7.98760157e+00 -2.50179247e+00  4.98391946e+00  9.31338513e+00
  1.18582441e-01 -2.01933307e+00  1.43152761e+00  6.82467533e+00
 -4.91655392e-01  1.44323857e+00  2.53552261e+00  8.87994528e+00
 -7.47721915e+00 -5.69318246e+00  1.00801326e+00 -2.00020927e+00
  1.75057147e+00 -1.57250142e+00  8.79556036e-01 -2.71676491e-01
 -4.06503236e+00 -1.53860881e+00 -4.92869804e+00 -6.69917636e-01
 -4.95001229e+00 -2.07092965e-01 -2.44951451e+00 -2.15292452e-01
 -3.35107365e+00 -7.88165825e-01 -1.45738757e-01 -5.78188836e-01]"
data\UrbanSound8K\audio\fold5\121286-0-0-8.wav,121286-0-0-8.wav,121286,4.0,8.0,1,5,0,air_conditioner,"[-156.56673541  190.32844767  -31.92539948    4.52322527  -23.81491221
    3.61124138  -14.9847132    -0.3242366    -6.07427948   -4.81611836
  -13.55626977   -5.30163918  -11.91705726    2.55356111   -7.17464713
    4.92374557   -8.87691791   -4.22846994   -9.17926233   -9.92514404
   -5.91753649   -5.79335673   -2.63187907   -4.55478281   -4.90893597
  -10.78291917   -8.63048607   -6.05550006   -0.33014211    6.83725607
    9.13198923   13.00767682    5.68954343    1.71142707   -2.06903499
   -2.93080025    1.65826799    5.10709394    3.50561062    5.73282234]"
data\UrbanSound8K\audio\fold10\73524-0-0-31.wav,73524-0-0-31.wav,73524,15.5,19.5,1,10,0,air_conditioner,"[-2.19930194e+02  1.72518613e+02 -7.42638090e+00  2.04123926e+01
  5.17377245e-01  1.60896965e+01  9.57745157e+00  1.48845684e+01
  1.32014351e+01  5.75188083e+00  4.04603124e+00 -1.81289149e+00
 -7.42486342e-01  3.04878058e+00  2.55209516e+00  2.39287632e+00
 -1.61630899e+00 -2.71364658e+00  5.41978293e-01  1.57392842e+00
  4.03074488e-01 -3.19870941e+00 -2.81816114e+00 -1.51016326e+00
  1.13974218e-01 -5.10836680e-01  1.77318343e+00  9.47157365e-01
  4.90734490e-02 -1.28839290e+00 -1.06868305e+00  1.41079488e+00
 -8.87260689e-01 -8.10608358e-01 -8.29580042e-01 -1.26057925e+00
  1.18686189e-01  1.60872366e+00  1.98602813e+00 -2.02887901e-01]"
data\UrbanSound8K\audio\fold7\177729-0-0-80.wav,177729-0-0-80.wav,177729,40.0,44.0,2,7,0,air_conditioner,"[-3.72679742e+02  1.18021254e+02 -1.09042157e+01  5.19161155e+01
 -5.26435832e+00  7.77154072e-01  2.38203567e+01  3.35337634e+00
  8.15904734e-01  1.62221711e+01 -9.56869227e-01 -9.78324374e+00
  9.51900291e+00  6.06183264e+00 -1.07711823e+01 -1.42616244e+00
 -3.11271663e+00 -2.77355032e+00 -1.04735967e+00 -3.48264381e+00
 -7.62706455e+00 -6.49799296e+00 -1.23663893e+00  4.88228847e+00
 -7.75214879e+00 -5.85125975e+00  4.80904441e+00 -3.43884793e+00
 -6.01389695e+00  3.02480433e+00 -4.29956084e+00 -3.55466973e-01
  2.43645366e+00 -3.04258850e+00 -1.23448752e+00  2.22957383e+00
 -1.83495574e+00  4.95709073e-01  2.27531302e+00  4.69472882e-01]"
data\UrbanSound8K\audio\fold5\100852-0-0-28.wav,100852-0-0-28.wav,100852,14.0,18.0,1,5,0,air_conditioner,"[-1.22597041e+02  1.52720081e+02 -8.74568383e+01  5.81570686e+01
 -1.43530418e+01  4.04466952e+01 -1.55505036e+01  2.48271546e+01
 -6.64030425e+00  5.07460667e+00 -4.26311079e+00 -1.96294475e-01
  5.68474993e-01 -1.85786699e+00 -6.47710971e-01  1.19535417e+00
  4.79691421e+00 -6.43247860e+00  8.47227922e+00 -4.92159126e+00
  6.33104765e+00 -3.88775322e+00  2.84916827e+00  3.51482139e+00
  2.81624003e+00 -1.52014362e+00  1.62236952e+00  1.72532091e+00
  4.10935002e-01  9.10834961e-01 -2.58803878e+00  5.77636396e-02
 -4.53532330e+00  1.09316209e+00 -5.75166965e+00 -2.84611122e+00
 -6.26964994e+00 -3.54801494e+00 -4.42957452e+00 -2.72713294e+00]"
data\UrbanSound8K\audio\fold2\74507-0-0-18.wav,74507-0-0-18.wav,74507,9.0,13.0,1,2,0,air_conditioner,"[-1.73138417e+02  1.75129693e+02 -3.10716426e+01  2.67288001e+01
 -1.24513755e+01  9.62816453e+00  1.53669260e+00  7.40399698e+00
 -1.86002142e+00  4.47437226e+00 -6.34898485e+00  3.48552286e-01
 -5.58245277e+00  1.52797302e+00 -8.44451413e-01  4.07357748e+00
  1.08332512e+00  5.92387328e+00 -5.76725471e-03  1.85682154e+00
 -4.19096306e+00  2.68449740e+00 -2.98636494e+00 -2.50539015e+00
 -7.55132321e+00 -6.62908938e+00 -6.68911025e-01  5.00642174e+00
 -2.63160756e+00 -1.38816246e+00  1.60270391e+00  2.71467611e+00
 -3.67868422e+00  2.28087193e+00  2.16806073e+00  4.44362567e+00
  2.64853438e+00  1.82594888e+00 -3.14226665e+00 -1.69078411e+00]"
data\UrbanSound8K\audio\fold5\100852-0-0-24.wav,100852-0-0-24.wav,100852,12.0,16.0,1,5,0,air_conditioner,"[-1.23700766e+02  1.54081213e+02 -8.99525893e+01  5.80039317e+01
 -1.45311472e+01  4.09951730e+01 -1.72819773e+01  2.61025538e+01
 -6.28661512e+00  7.57881212e+00 -5.00618220e+00  5.06420131e-01
 -7.75925920e-01  3.75876380e-02 -9.88027484e-01  1.48731897e+00
  5.13690861e+00 -5.69587624e+00  9.34336188e+00 -5.77086145e+00
  6.35189136e+00 -3.82881226e+00  3.65479279e+00  2.25096204e+00
  2.50048751e+00 -2.32285527e+00  1.63034714e+00  1.00754111e+00
 -3.94659307e-03  6.85092227e-01 -1.78359056e+00  9.78485690e-01
 -4.77951785e+00  2.29621267e+00 -4.92130885e+00 -7.89185308e-01
 -6.49827436e+00 -2.46891194e+00 -3.41035691e+00 -1.06985411e+00]"
